title,tags,url,time,label
ogci estabelece nova meta emissao carbono afirma petrobras,"['Combustíveis', 'Empresas', 'Meio Ambiente', 'Petrobras']",https://www.moneytimes.com.br/ogci-estabelece-nova-meta-de-emissao-de-carbono-afirma-petrobras/,10:15:00,0
pelo acrescimo previsto nova gasolina eficiencia maior duvida etanol impacto,"['Agronegócio', 'Etanol', 'Gasolina', 'Petrobras']",https://www.moneytimes.com.br/pelo-acrescimo-previsto-da-nova-gasolina-e-eficiencia-maior-em-duvida-etanol-nao-teria-impacto/,10:35:00,0
ibovespa hoje cai <NUM> cento mau humor bateria dados exterior,"['Ibovespa', 'JHSF (JHSF3)', 'Petrobras (PETR4)', 'Vale (VALE3)']",https://www.suno.com.br/noticias/ibovespa-fecha-queda-mau-humor-dados-16072020/,17:28:00,0
petrobras petr4 conclui venda campos valor total <NUM> mi,"['PETR3', 'Petrobras (PETR4)']",https://www.suno.com.br/noticias/petrobras-petr4-conclui-venda-de-campos-pelo-valor-total-de-us-372-mi/,09:46:00,0
anp autoriza petrobras movimentar gasolina aviacao,"['Aeroportos', 'Agência Brasil', 'Anac', 'ANP', 'Biocombustível', 'Combustíveis', 'Gás', 'Gasolina', 'Petrobras', 'São Paulo', 'Setor Aéreo']",https://www.moneytimes.com.br/anp-autoriza-petrobras-a-movimentar-gasolina-de-aviacao/,14:06:00,0
mirae troca romi randon braskem b3 carteira semana,"['Ações', 'B3', 'Banco Inter', 'Braskem', 'Carteira Recomendada', 'Comprar ou vender?', 'Empresas', 'JBS', 'Mirae Asset', 'MRV', 'Petrobras', 'Rumo', 'Ultrapar', 'Vale', 'Via Varejo']",https://www.moneytimes.com.br/mirae-troca-romi-e-randon-por-braskem-e-b3-na-carteira-da-semana/,09:55:00,1
brasil amplia exportacao petroleo asia meio cortes rivais,"['Ásia', 'Brasil', 'Combustíveis', 'Commodities', 'Petrobras', 'Petróleo', 'Roberto Castello Branco', 'Shell']",https://www.moneytimes.com.br/brasil-amplia-exportacao-de-petroleo-para-a-asia-em-meio-a-cortes-de-rivais/,10:51:00,1
ibovespa aproxima <NUM> mil pontos tim vivo maiores altas,"['Ações', 'B3', 'Bradesco', 'Embraer', 'Empresas', 'Ibovespa', 'Itaú Unibanco', 'JBS', 'Magazine Luiza', 'Marfrig', 'Mercados', 'Minerva', 'Oi', 'Petrobras', 'Reuters', 'Sabesp', 'Telecomunicações', 'Telefônica', 'TIM Brasil', 'Vale', 'Vivo']",https://www.moneytimes.com.br/ibovespa-oscila-sem-vies-claro-em-dia-com-opcoes-tim-e-telefonica-brasil-lideram-altas/,12:35:00,1
anp abre consulta sobre indicacao areas licitacao,"['Agência Brasil', 'ANP', 'Biocombustível', 'Economia', 'Gás', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/anp-abre-consulta-sobre-indicacao-de-areas-para-licitacao/,17:37:00,1
engie brasil abre caminho crescimento acelerado setor gas compra tag,"['Ações', 'Comprar ou vender?', 'Credit Suisse', 'Empresas', 'Energias Renováveis', 'Engie Brasil', 'Gás', 'Petrobras']",https://www.moneytimes.com.br/engie-brasil-abre-caminho-para-crescimento-acelerado-no-setor-de-gas-com-compra-da-tag/,12:14:00,1
