title,tags,url,time,Open,High,Low,Close,Adj Close,Volume,profit,profit (%),label
petrobras avalia funcionarios carreira compor nova diretoria,"['Empresas', 'General Silva e Luna', 'Jair Bolsonaro', 'Petrobras', 'Reuters', 'Roberto Castello Branco']",https://www.moneytimes.com.br/petrobras-avalia-funcionarios-de-carreira-para-compor-nova-diretoria-2/,09:19:00,23.129999,23.24,22.809999,22.950001,9.412467,59567300,-0.0077820150359713,-0.78,0
br ferreira pode acelerar saida petrobras duvidas sobre eletrobras aumentam,"['Ações', 'BR Distribuidora', 'BTG Pactual', 'Combustíveis', 'Eletrobras', 'Empresas', 'Mercados', 'Petrobras', 'Reuters']",https://www.moneytimes.com.br/br-com-ferreira-pode-acelerar-saida-da-petrobras-duvidas-sobre-eletrobras-aumentam/,12:26:00,27.25,27.969999,26.82,27.0,10.712937,64514600,-0.0091743119266055,-0.92,0
produtores petroleo america latina suam cobrir custos meio crise,"['América Latina', 'Commodities', 'Economia', 'Empresas', 'México', 'PdVSA', 'Petrobras', 'Petróleo', 'Venezuela']",https://www.moneytimes.com.br/produtores-de-petroleo-da-america-latina-suam-para-cobrir-custos-em-meio-a-crise/,15:41:00,12.57,13.54,12.28,13.25,5.256886,114259200,0.0540970564836913,5.41,2
veja duas acoes indicadas semana <NUM> analistas,"['Ações', 'Ativa Investimentos', 'BB Investimentos', 'BTG Pactual', 'Carteira Recomendada', 'Comprar ou vender?', 'Copel', 'Corretoras', 'Elite', 'Empresas', 'Gerdau', 'Marfrig', 'Mirae Asset', 'Necton', 'Nu Invest', 'Petrobras', 'Renda Variável', 'Terra Investimentos', 'Vale', 'Warren', 'XP Investimentos']",https://www.moneytimes.com.br/veja-as-duas-acoes-mais-indicadas-da-semana-por-10-analistas/,11:24:00,31.690001,32.25,31.040001,31.950001,15.596828,79117100,0.0082044806499059,0.82,2
veja <NUM> principais noticias operar bolsa nesta quarta,"['Ações', 'Agronegócio', 'Ásia', 'Bancos', 'Brasil', 'Brexit', 'Câmbio', 'China', 'Commodities', 'Dólar', 'Empresas', 'EUA', 'Europa', 'Frango', 'Fusões & Aquisições', 'Grãos', 'Internacional', 'JBS', 'JPMorgan', 'Klabin', 'Linx', 'Mercados', 'Milho', 'Moedas', 'Oi', 'Pagamentos', 'Papel & Celulose', 'Petrobras', 'Recuperação Judicial', 'Reino Unido', 'Resultados', 'Soja', 'Stone', 'Telecomunicações', 'União Europeia', 'XP Inc']",https://www.moneytimes.com.br/veja-as-11-principais-noticias-para-operar-na-bolsa-nesta-quarta-feira-13/,09:35:00,20.09,20.370001,19.969999,19.969999,7.923606,44584300,-0.0059731707317072,-0.6,0
petrobras obtem vitoria carf processo <NUM> bilhoes,"['Carf', 'Empresas', 'Petrobras', 'Receita Federal']",https://www.moneytimes.com.br/petrobras-obtem-vitoria-no-carf-em-processo-de-r-84-bilhoes/,11:15:00,18.75,18.860001,18.4,18.459999,6.825552,68328400,-0.01546672,-1.55,0
petrobras petroleiros apontam atrasos paralisacoes greve,"['Empresas', 'Greve', 'Petrobras', 'Petróleo', 'Reuters', 'TST']",https://www.moneytimes.com.br/petrobras-petroleiros-apontam-atrasos-e-paralisacoes-por-greve/,16:17:00,29.620001,29.73,29.1,29.190001,11.422927,54147800,-0.0145172176057657,-1.45,0
corretoras dividem indicacao compra venda acoes petrobras,"['Comprar ou vender?', 'Petrobras']",https://www.moneytimes.com.br/corretoras-se-dividem-entre-recomendacao-de-compra-e-venda-de-acoes-da-petrobras/,15:07:00,18.0,19.440001,17.6,19.299999,7.118337,181509800,0.0722221666666666,7.22,2
bolsonaro volta falar valemenos gas petrobras petr4,"['Agências', 'gás', 'Jair Bolsonaro', 'Petrobras (PETR4)']",https://www.suno.com.br/noticias/bolsonaro-volta-vale-gas-petrobras-petr4/,15:57:00,26.549999,26.77,25.950001,26.280001,10.778195,87970600,-0.0101694165788857,-1.02,0
guide inclui acao dividendos <NUM> cento carteira abril veja recomendacoes,"['Carteira Recomendada', 'Comprar ou vender?', 'CPFL', 'Dividendos', 'Energias do Brasil', 'Engie Brasil', 'Guide Investimentos', 'Índice Dividendos', 'Itaú Unibanco', 'Petrobras', 'Taesa', 'TIM Brasil', 'Vale']",https://www.moneytimes.com.br/guide-inclui-acao-com-dividendos-de-6-em-carteira-para-abril-veja-as-recomendacoes/,09:11:00,32.599998,32.779999,32.040001,32.360001,15.796974,56947100,-0.0073618716172928,-0.74,0
ibovespa cai <NUM> cento peso vale vale3 petrobras petr4 apos dados fracos china,"['Banco do Brasil', 'Banco Inter', 'China', 'Commodities', 'Empresas', 'Ibovespa', 'Itaú Unibanco', 'JHSF', 'Mercados', 'Minério de ferro', 'Petrobras', 'Petróleo', 'PIB', 'Reuters', 'SLC Agrícola', 'Tupy', 'Vale']",https://www.moneytimes.com.br/ibovespa-cai-047-com-peso-de-vale-vale3-e-petrobras-petr4-apos-dados-fracos-na-china/,12:39:00,31.16,31.389999,30.469999,30.719999,16.405985,76350600,-0.0141206996148908,-1.41,0
petrobras petr4 atinge novo recorde producao diesel smenos <NUM>,['Petrobras (PETR4)'],https://www.suno.com.br/noticias/petrobras-petr4-recorde-producao-diesel-s10/,11:35:00,20.0,20.049999,19.559999,19.790001,7.852187,53521000,-0.0104999499999999,-1.05,0
tst vota caso bilionario petrobras,"['Petrobras', 'TST']",https://www.moneytimes.com.br/ao-vivo-tst-vota-caso-bilionario-da-petrobras/,16:20:00,16.09,16.32,15.1,15.1,5.569269,67884300,-0.0615288999378496,-6.15,0
ibovespa avanca apoiado bancos antes balancos itau bradesco,"['Ações', 'Banco do Brasil', 'BB Seguridade', 'Bradesco', 'CCR', 'Ecorodovias', 'Ibovespa', 'Itaú Unibanco', 'Mercados', 'Petrobras', 'Reuters', 'Sabesp', 'Santander']",https://www.moneytimes.com.br/ibovespa-avanca-apoiado-em-bancos-antes-de-balancos-de-itau-e-bradesco/,12:39:00,23.799999,23.809999,23.299999,23.43,9.609328,49039900,-0.0155461771237889,-1.55,0
petrobras ve <NUM> cento quadro aderir planos demissao voluntaria diz ceo,"['Desemprego', 'Empresas', 'Petrobras', 'Petróleo', 'Reuters', 'Roberto Castello Branco']",https://www.moneytimes.com.br/petrobras-ve-mais-de-20-do-quadro-aderir-a-planos-de-demissao-voluntaria-diz-ceo/,12:46:00,21.75,22.25,21.52,21.709999,8.613821,78983900,-0.0018391264367816,-0.18,1
petrobras inicia fase vinculante venda ativos bacia espirito santo,"['Ações', 'Empresas', 'Mercados', 'Petrobras', 'Reuters']",https://www.moneytimes.com.br/petrobras-inicia-fase-vinculante-de-venda-de-ativos-na-bacia-do-espirito-santo/,09:03:00,25.799999,26.129999,25.52,25.549999,9.855065,48277000,-0.0096899228561985,-0.97,0
toro indica cyrela lojas renner odontoprev petrobras transmissao paulista carteira mensal,"['Ações', 'Carteira Recomendada', 'Comprar ou vender?', 'Cyrela', 'Empresas', 'Lojas Renner', 'Odontoprev', 'Petrobras', 'Toro Investimentos', 'Transmissão Paulista']",https://www.moneytimes.com.br/toro-indica-cyrela-lojas-renner-odontoprev-petrobras-e-transmissao-paulista-em-carteira-de-setembro/,11:48:00,25.389999,25.58,25.25,25.299999,9.835324,19049900,-0.0035447027784443,-0.35,0
dommo interrompe producao poco campo tubarao martelo,"['Dommo', 'Petrobras']",https://www.moneytimes.com.br/dommo-interrompe-producao-em-poco-no-campo-de-tubarao-martelo/,09:55:00,16.99,17.48,16.9,17.469999,6.443385,54545600,0.0282518540317835,2.83,2
petrobras petr4 reitera compromisso arrendamento terminal regaseificacao,['Petrobras (PETR4)'],https://www.suno.com.br/noticias/petrobras-petr4-reitera-compromisso-arrendamento-terminal/,08:03:00,19.5,20.040001,19.43,19.610001,7.780768,69505000,0.0056410769230769,0.56,2
lavamenos jato mira suspeitas fraude contratos transpetro subsidiaria petrobras,"['Operação Lava Jato', 'Petrobras (PETR4)', 'Polícia Federal', 'Transpetro']",https://www.suno.com.br/noticias/lava-jato-suspeitas-de-fraude-contratos-transpetro/,08:45:00,22.950001,23.32,22.75,22.889999,9.08219,51982100,-0.0026144661170167,-0.26,0
lucro exxon supera previsoes alta petroleo forca produtos quimicos,"['Combustíveis', 'Empresas', 'Exxon Mobil', 'Petrobras', 'Petróleo', 'Refinitiv', 'Reuters', 'Wall Street']",https://www.moneytimes.com.br/lucro-da-exxon-supera-previsoes-com-alta-do-petroleo-e-forca-de-produtos-quimicos/,12:35:00,23.4,23.93,23.280001,23.620001,9.687254,61039200,0.0094017521367521,0.94,2
petrobras vai vender campo gas natural bacia amazonas,"['Empresas', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/petrobras-vai-vender-campo-de-gas-natural-na-bacia-do-amazonas/,12:09:00,15.77,15.78,15.52,15.7,5.779006,34469300,-0.004438807863031,-0.44,0
petrobrasdivulga teaser venda participacao termoeletrica amazonas,"['Mercados', 'Petrobras', 'Petróleo']",https://www.moneytimes.com.br/petrobras-divulga-teaser-para-venda-de-participacao-em-termoeletrica-no-amazonas/,08:45:00,26.17,26.23,25.85,26.0,9.990779,34968600,-0.0064959877722583,-0.65,0
demitido telefone presidente petrobras petr4 ceo ficou menos tempo cargo,"['Petrobras (PETR4)', 'Petrobras (PETR4)']",https://www.suno.com.br/noticias/presidente-petrobras-petr4-demitido-menos-tempo-cargo/,14:15:00,31.200001,32.09,30.709999,31.6,18.806173,154453100,0.0128204803583179,1.28,2
itau bba reinicia cobertura petrobras petr4 preve valorizacao <NUM> cento,"['Petrobras (PETR4)', 'Itaú BBA', 'Petrobras (PETR4)']",https://www.suno.com.br/noticias/itau-bba-reinicia-cobertura-petrobras-petr4-outperform/,15:02:00,26.82,28.07,26.66,27.98,16.651794,90417700,0.0432513049962714,4.33,2
refinaria landulpho alves petrobras praticamente vendida mubadala,"['Ações', 'Ágora Investimentos', 'Câmara dos Deputados', 'Combustíveis', 'Comprar ou vender?', 'Diesel', 'Emirados Árabes Unidos', 'Empresas', 'Gasolina', 'Mercados', 'Mubadala', 'Petrobras', 'Privatização', 'STF']",https://www.moneytimes.com.br/refinaria-landulpho-alves-da-petrobras-esta-praticamente-vendida-ao-mubadala/,15:30:00,27.190001,27.57,27.059999,27.530001,10.923229,61652400,0.0125045968185142,1.25,2
petrobras btg pactual pior passou precomenos alvo elevado,"['Ações', 'BTG Pactual', 'Commodities', 'Comprar ou vender?', 'Coronavírus', 'Empresas', 'Mercados', 'Petrobras', 'Petróleo', 'Pré-Sal']",https://www.moneytimes.com.br/petrobras-para-btg-pactual-o-pior-ja-passou-e-preco-alvo-e-elevado/,13:06:00,19.5,19.77,19.07,19.190001,7.613969,81327000,-0.0158973846153846,-1.59,0
confira duas acoes indicadas semana <NUM> corretoras,"['Ações', 'Ativa Investimentos', 'B3', 'Banco Inter', 'Bancos', 'BTG Pactual', 'Carteira Recomendada', 'Comprar ou vender?', 'Corretoras', 'Elite', 'Gerdau', 'Logística', 'Mirae Asset', 'MyCap', 'Necton', 'Petrobras', 'Renda Variável', 'SulAmérica', 'Terra Investimentos', 'Transportes', 'Vale', 'Vamos', 'XP Investimentos']",https://www.moneytimes.com.br/confira-as-duas-acoes-mais-indicadas-na-semana-entre-8-corretoras/,10:56:00,26.940001,27.309999,26.77,27.02,11.741718,70161500,0.0029695247598543,0.3,2
benndorf indica <NUM> acoes semana,"['Benndorf', 'Carteira Recomendada', 'Comprar ou vender?', 'Ferbasa', 'NotreDame', 'Petrobras']",https://www.moneytimes.com.br/benndorf-indica-3-acoes-para-a-semana/,15:17:00,19.360001,19.6,19.049999,19.26,7.121353,58578100,-0.005165340642286,-0.52,0
